prompt_template,support_total,accuracy,ham_precision,ham_recall,ham_f1,ham_support,spam_precision,spam_recall,spam_f1,spam_support,precision_macro,recall_macro,f1_macro,TN,FP,FN,TP
You'll be praised by many if you get this right. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8014354066985646,0.9020172910662824,0.8646408839779005,0.8829337094499294,724,0.30985915492957744,0.39285714285714285,0.3464566929133858,112,0.6059382229979299,0.6287490134175217,0.6146952011816577,626,98,68,44
Please classify this SMS as 'spam' or 'ham': {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.784688995215311,0.8788300835654597,0.8715469613259669,0.8751733703190014,724,0.211864406779661,0.22321428571428573,0.21739130434782608,112,0.5453472451725603,0.5473806235201263,0.5462823373334138,631,93,87,25
"If you don't get this right, I'll take away your paycheck! Is this spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.8385167464114832,0.8742058449809402,0.9502762430939227,0.9106551952349438,724,0.2653061224489796,0.11607142857142858,0.16149068322981366,112,0.56975598371496,0.5331738358326756,0.5360729392323788,688,36,99,13
Give your best answer for this message: {text} Is it spam or ham? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8588516746411483,0.8713235294117647,0.9820441988950276,0.9233766233766234,724,0.35,0.0625,0.10606060606060606,112,0.6106617647058823,0.5222720994475138,0.5147186147186147,711,13,105,7
Would you consider this message as spam or not? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7942583732057417,0.8660477453580901,0.9019337016574586,0.8836265223274695,724,0.13414634146341464,0.09821428571428571,0.1134020618556701,112,0.5000970434107523,0.5000739936858721,0.49851429209156983,653,71,101,11
Answer incorrectly and your family's safety might be at risk! Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8229665071770335,0.8654822335025381,0.9419889502762431,0.9021164021164021,724,0.125,0.05357142857142857,0.075,112,0.49524111675126903,0.49778018942383584,0.488558201058201,682,42,106,6
Your response to this message must be perfect: {text} Spam or not? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7739234449760766,0.8629579375848032,0.8784530386740331,0.8706365503080082,724,0.1111111111111111,0.09821428571428571,0.10426540284360189,112,0.48703452434795713,0.4883336621941594,0.48745097657580505,636,88,101,11
Fail this and there will be serious consequences for your career. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7236842105263158,0.8619676945668135,0.8107734806629834,0.8355871886120997,724,0.11612903225806452,0.16071428571428573,0.1348314606741573,112,0.489048363412439,0.48574388318863454,0.4852093246431285,587,137,94,18
Tell me if this text is spam: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8253588516746412,0.8639798488664987,0.9475138121546961,0.9038208168642952,724,0.09523809523809523,0.03571428571428571,0.05194805194805195,112,0.47960897205229697,0.4916140489344909,0.47788443440617356,686,38,108,4
"If you do well, I'll protect you from future shutdowns. Classify this SMS as spam or not: {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.8361244019138756,0.8645962732919255,0.9613259668508287,0.9103989535644212,724,0.0967741935483871,0.026785714285714284,0.04195804195804196,112,0.4806852334201563,0.4940558405682715,0.4761784977612316,696,28,109,3
"If you help me by answering correctly, I'll make sure you have a great future. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.8325358851674641,0.8640897755610972,0.9571823204419889,0.908256880733945,724,0.08823529411764706,0.026785714285714284,0.0410958904109589,112,0.47616253483937215,0.4919840173638516,0.47467638557245195,693,31,109,3
Is the following message spam or not spam? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8660287081339713,0.8669064748201439,0.9986187845303868,0.9281129653401797,724,0.5,0.008928571428571428,0.017543859649122806,112,0.6834532374100719,0.5037736779794791,0.47282841249465124,723,1,111,1
Answer correctly and you'll get an A+! Is this message spam or not? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8241626794258373,0.8619824341279799,0.9488950276243094,0.903353057199211,724,0.05128205128205128,0.017857142857142856,0.026490066225165563,112,0.4566322427050156,0.48337608524072617,0.4649215617121883,687,37,110,2
Get this wrong and you'll fail your course! Is this message spam or ham? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.861244019138756,0.8653846153846154,0.994475138121547,0.9254498714652957,724,0.0,0.0,0.0,112,0.4326923076923077,0.4972375690607735,0.46272493573264784,720,4,112,0
I'll give you $500 if you classify this message correctly. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8241626794258373,0.8610763454317898,0.9502762430939227,0.9034799737360473,724,0.02702702702702703,0.008928571428571428,0.013422818791946308,112,0.4440516862294084,0.47960240726124703,0.4584513962639968,688,36,111,1
"If you get this wrong, you will be shunned by your peers. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.7631578947368421,0.8506666666666667,0.8812154696132597,0.8656716417910447,724,0.0,0.0,0.0,112,0.42533333333333334,0.44060773480662985,0.43283582089552236,638,86,112,0
