Category,Message
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,Then i buy.
ham,I.ll hand her my phone to chat wit u
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
ham,Nt joking seriously i told
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
ham,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx
spam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
ham,When you came to hostel.
ham,Did u fix the teeth?if not do it asap.ok take care.
spam,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
ham,Now am free call me pa.
ham,Lol ... I knew that .... I saw him in the dollar store
ham,"No, but you told me you were going, before you got drunk!"
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
ham,When/where do I pick you up
ham,"Sorry battery died, yeah I'm here"
ham,Draw va?i dont think so:)
ham,Aight ill get on fb in a couple minutes
ham,Why didn't u call on your lunch?
ham,"Goodnight, sleep well da please take care pa. Please."
