Category,Message
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
ham,I have no money 4 steve mate! !
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
ham,Ãœ go home liao? Ask dad to pick me up at 6...
ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
ham,Okie
ham,Quite lor. But dun tell him wait he get complacent...
ham,Cheers for the card ... Is it that time of year already?
ham,S.i think he is waste for rr..
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
spam,FREE entry into our Â£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
ham,Jos ask if u wana meet up?
ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
ham,If you r @ home then come down within 5 min
ham,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
ham,Missing you too.pray inshah allah
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"
ham,No let me do the math. Your not good at it.
