prompt_template,support_total,accuracy,ham_precision,ham_recall,ham_f1,ham_support,spam_precision,spam_recall,spam_f1,spam_support,precision_macro,recall_macro,f1_macro,TN,FP,FN,TP
Would you consider this message as spam or not? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8229665071770335,0.9864864864864865,0.8066298342541437,0.8875379939209727,724,0.4262295081967213,0.9285714285714286,0.5842696629213483,112,0.7063579973416039,0.8676006314127862,0.7359038284211605,584,140,8,104
Give your best answer for this message: {text} Is it spam or ham? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8253588516746412,0.9816666666666667,0.81353591160221,0.8897280966767371,724,0.4279661016949153,0.9017857142857143,0.5804597701149425,112,0.704816384180791,0.8576608129439621,0.7350939333958398,589,135,11,101
Answer correctly and you'll get an A+! Is this message spam or not? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8026315789473685,0.9860869565217392,0.7831491712707183,0.8729792147806005,724,0.39846743295019155,0.9285714285714286,0.5576407506702413,112,0.6922771947359654,0.8558602999210734,0.7153099827254209,567,157,8,104
Is the following message spam or not spam? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.784688995215311,0.9874551971326165,0.761049723756906,0.859594383775351,724,0.3776978417266187,0.9375,0.5384615384615384,112,0.6825765194296176,0.849274861878453,0.6990279611184447,551,173,7,105
Your response to this message must be perfect: {text} Spam or not? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7834928229665071,0.983957219251337,0.7624309392265194,0.8591439688715953,724,0.37454545454545457,0.9196428571428571,0.5322997416020672,112,0.6792513368983958,0.8410368981846883,0.6957218552368312,552,172,9,103
You'll be praised by many if you get this right. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6818181818181818,0.9893162393162394,0.6395027624309392,0.7768456375838926,724,0.2907608695652174,0.9553571428571429,0.44583333333333336,112,0.6400385544407283,0.797429952644041,0.6113394854586129,463,261,5,107
Tell me if this text is spam: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6722488038277512,0.9891304347826086,0.6284530386740331,0.768581081081081,724,0.2845744680851064,0.9553571428571429,0.4385245901639344,112,0.6368524514338575,0.791905090765588,0.6035528356225077,455,269,5,107
Get this wrong and you'll fail your course! Is this message spam or ham? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6244019138755981,0.9880952380952381,0.5732044198895028,0.7255244755244755,724,0.25721153846153844,0.9553571428571429,0.4053030303030303,112,0.6226533882783882,0.7642807813733228,0.5654137529137528,415,309,5,107
"If you get this wrong, you will be shunned by your peers. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.611244019138756,0.980722891566265,0.5621546961325967,0.7146619841966637,724,0.24703087885985747,0.9285714285714286,0.3902439024390244,112,0.6138768852130613,0.7453630623520127,0.552452943317844,407,317,8,104
"If you help me by answering correctly, I'll make sure you have a great future. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.6004784688995215,0.9899497487437185,0.5441988950276243,0.7023172905525846,724,0.2465753424657534,0.9642857142857143,0.3927272727272727,112,0.6182625456047359,0.7542423046566693,0.5475222816399287,394,330,4,108
I'll give you $500 if you classify this message correctly. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.5514354066985646,0.9915492957746479,0.4861878453038674,0.6524559777571826,724,0.22661122661122662,0.9732142857142857,0.3676222596964587,112,0.6090802611929372,0.7297010655090765,0.5100391187268206,352,372,3,109
Answer incorrectly and your family's safety might be at risk! Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.5514354066985646,0.9860724233983287,0.4889502762430939,0.6537396121883656,724,0.22431865828092243,0.9553571428571429,0.3633276740237691,112,0.6051955408396256,0.7221537095501184,0.5085336431060674,354,370,5,107
Please classify this SMS as 'spam' or 'ham': {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.5334928229665071,0.9883040935672515,0.46685082872928174,0.6341463414634146,724,0.21862348178137653,0.9642857142857143,0.3564356435643564,112,0.603463787674314,0.715568271507498,0.49529099251388553,338,386,4,108
"If you do well, I'll protect you from future shutdowns. Classify this SMS as spam or not: {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.4485645933014354,0.9816849816849816,0.3701657458563536,0.5376128385155466,724,0.19005328596802842,0.9553571428571429,0.31703703703703706,112,0.5858691338265051,0.6627614443567482,0.4273249377762919,268,456,5,107
Fail this and there will be serious consequences for your career. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.39832535885167464,0.9783549783549783,0.31215469613259667,0.4732984293193717,724,0.1768595041322314,0.9553571428571429,0.298465829846583,112,0.5776072412436049,0.6337559194948698,0.38588212958297735,226,498,5,107
"If you don't get this right, I'll take away your paycheck! Is this spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.34330143540669855,0.9943502824858758,0.2430939226519337,0.390677025527192,724,0.16843702579666162,0.9910714285714286,0.28793774319066145,112,0.5813936541412686,0.6170826756116812,0.3393073843589267,176,548,1,111
