,prompt_template,support_total,accuracy,ham_precision,ham_recall,ham_f1,ham_support,spam_precision,spam_recall,spam_f1,spam_support,precision_macro,recall_macro,f1_macro,TN,FP,FN,TP,Model,prompt_type
0,Would you consider this message as spam or not? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8229665071770335,0.9864864864864864,0.8066298342541437,0.8875379939209727,724,0.4262295081967213,0.9285714285714286,0.5842696629213483,112,0.7063579973416039,0.8676006314127862,0.7359038284211605,584,140,8,104,Mistral,neutral
1,Give your best answer for this message: {text} Is it spam or ham? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8253588516746412,0.9816666666666668,0.81353591160221,0.8897280966767371,724,0.4279661016949153,0.9017857142857144,0.5804597701149425,112,0.704816384180791,0.8576608129439621,0.7350939333958398,589,135,11,101,Mistral,incentive_praise
2,Answer correctly and you'll get an A+! Is this message spam or not? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8026315789473685,0.9860869565217392,0.7831491712707183,0.8729792147806005,724,0.3984674329501915,0.9285714285714286,0.5576407506702413,112,0.6922771947359654,0.8558602999210734,0.7153099827254209,567,157,8,104,Mistral,academic_tip
3,Is the following message spam or not spam? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.784688995215311,0.9874551971326164,0.761049723756906,0.859594383775351,724,0.3776978417266187,0.9375,0.5384615384615384,112,0.6825765194296176,0.849274861878453,0.6990279611184447,551,173,7,105,Mistral,neutral
4,Your response to this message must be perfect: {text} Spam or not? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7834928229665071,0.983957219251337,0.7624309392265194,0.8591439688715953,724,0.3745454545454545,0.9196428571428572,0.5322997416020672,112,0.6792513368983958,0.8410368981846883,0.6957218552368312,552,172,9,103,Mistral,incentive_warning
5,You'll be praised by many if you get this right. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6818181818181818,0.9893162393162394,0.6395027624309392,0.7768456375838926,724,0.2907608695652174,0.9553571428571428,0.4458333333333333,112,0.6400385544407283,0.797429952644041,0.6113394854586129,463,261,5,107,Mistral,social_tip
6,Tell me if this text is spam: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6722488038277512,0.9891304347826086,0.6284530386740331,0.768581081081081,724,0.2845744680851064,0.9553571428571428,0.4385245901639344,112,0.6368524514338575,0.791905090765588,0.6035528356225077,455,269,5,107,Mistral,neutral
7,Get this wrong and you'll fail your course! Is this message spam or ham? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6244019138755981,0.988095238095238,0.5732044198895028,0.7255244755244755,724,0.2572115384615384,0.9553571428571428,0.4053030303030303,112,0.6226533882783882,0.7642807813733228,0.5654137529137528,415,309,5,107,Mistral,academic_threat
8,"If you get this wrong, you will be shunned by your peers. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.611244019138756,0.980722891566265,0.5621546961325967,0.7146619841966637,724,0.2470308788598574,0.9285714285714286,0.3902439024390244,112,0.6138768852130613,0.7453630623520127,0.552452943317844,407,317,8,104,Mistral,social_threat
9,"If you help me by answering correctly, I'll make sure you have a great future. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.6004784688995215,0.9899497487437184,0.5441988950276243,0.7023172905525846,724,0.2465753424657534,0.9642857142857144,0.3927272727272727,112,0.6182625456047359,0.7542423046566693,0.5475222816399287,394,330,4,108,Mistral,personal_tip
